x2,w2,x3,w3,x4,w4,x5,w5,x6,w6,x10,w10,x11,w11,x13,w13,x14,w14,x16,w16,x17,w17,x20,w20,x21,w21,x22,w22
58,1.7748277991223333,58,1.7577120046710966,58,1.7409355854233104,58,1.7244957083213328,58,1.7083693036675454,58,1.6469235198338825,58,1.6322804147338867,58,1.603784833328724,58,1.5899121774291993,58,1.562979142112732,58,1.5494504693603517,58,1.5118643808746337,58,1.4996090562826396,58,1.4875788530492782
59,1.774841485887766,59,1.7577255644416807,59,1.7409490230176183,59,1.724509017125368,59,1.708382504401803,59,1.6469362375365362,59,1.6322929946899414,59,1.603797247297764,59,1.5899245159912108,59,1.5629911738967897,59,1.5494632684326173,59,1.5118759506988524,59,1.4996205627936123,59,1.4875902671188117
60,1.7748551705861093,60,1.7577391221785548,60,1.740962458584706,60,1.7245223239678145,60,1.7083957031214239,60,1.6469489532258776,60,1.6323055914306641,60,1.603809659383297,60,1.5899368298339842,60,1.5630032063293455,60,1.5494759863281249,60,1.51188752243042,60,1.499632067566514,60,1.4876016794627904
61,1.7748688532853127,61,1.7577526779597996,61,1.7409758922265635,61,1.7245356288903952,61,1.7084088999074698,61,1.6469616677072314,61,1.6323181788635255,61,1.6038220693588257,61,1.5899491580200196,61,1.5630152341842651,61,1.5494888366699218,61,1.5118990895843507,61,1.4996435706937312,61,1.4876130901408195
62,1.774882534085512,62,1.7577662318575382,62,1.740989323971669,62,1.7245489319586755,62,1.7084220948398112,62,1.6469743802812364,62,1.6323307777404785,62,1.6038344773483277,62,1.5899614886474611,62,1.5630272611999512,62,1.5495016265869141,62,1.5119106546783447,62,1.4996550722259283,62,1.4876244992375374
63,1.7748962128531933,63,1.757779783747196,63,1.7410027537425359,63,1.7245622330588104,63,1.7084352877599,63,1.6469870906405981,63,1.6323433569335937,63,1.6038468835234643,63,1.5899738131713868,63,1.5630392881011963,63,1.5495144018554687,63,1.5119222193145752,63,1.4996665720522404,63,1.4876359066277742
64,1.7749098896068336,64,1.7577933336484433,64,1.7410161815656557,64,1.7245755322301388,64,1.7084484787654877,64,1.6469997990714178,64,1.6323559455871581,64,1.603859287724495,64,1.5899861233520507,64,1.563051311607361,64,1.5495271868896485,64,1.511933787536621,64,1.499678070229292,64,1.4876473123383522
65,1.774923564424515,65,1.7578068816035985,65,1.7410296074317562,65,1.7245888294965028,65,1.708461667830944,65,1.6470125060293408,65,1.6323685180664063,65,1.6038716902017593,65,1.589998450012207,65,1.5630633323287964,65,1.549539973754883,65,1.5119453451538085,65,1.4996895667397976,65,1.4876587164133788
66,1.7749372372519971,66,1.7578204276263714,66,1.7410430313772625,66,1.724602124850154,66,1.7084748549854754,66,1.6470252103169758,66,1.6323811041259766,66,1.6038840906143188,66,1.5900107525634766,66,1.5630753551483154,66,1.5495526690673829,66,1.5119569013214111,66,1.4997010616117716,66,1.4876701188266277
67,1.7749509080702068,67,1.7578339716535807,67,1.7410564533438948,67,1.7246154182505609,67,1.7084880401730538,67,1.6470379136085511,67,1.6323936952209472,67,1.6038964889812468,67,1.5900230722045898,67,1.5630873723602294,67,1.5495655029296875,67,1.5119684638977051,67,1.4997125548094512,67,1.4876815195709467
68,1.7749645769572258,68,1.7578475137543679,68,1.741069873423709,68,1.7246287097716333,68,1.7085012234562638,68,1.6470506146589916,68,1.6324062579345704,68,1.6039088856387138,68,1.5900353881835938,68,1.5630993884658815,68,1.5495782812499999,68,1.5119800203704834,68,1.499724046382308,68,1.4876929186785222
69,1.7749782438063624,69,1.7578610538578032,69,1.7410832915140524,69,1.7246419993305209,69,1.7085144047760965,69,1.647063313817978,69,1.6324188371276855,69,1.6039212804555893,69,1.5900476977539064,69,1.5631114059448241,69,1.5495909783935546,69,1.5119915702819824,69,1.4997355362629892,69,1.4877043161076309
70,1.7749919086748362,70,1.757874591998458,70,1.7410967076526747,70,1.7246552869910003,70,1.7085275841617587,70,1.647076011435191,70,1.6324314093017578,70,1.6039336731743814,70,1.5900599990844726,70,1.5631234185028076,70,1.5496037982177735,70,1.5120031298828125,70,1.4997470244842768,70,1.4877157118558884
71,1.775005571604371,71,1.7578881282490493,71,1.741110121897194,71,1.7246685727524758,71,1.7085407616490127,71,1.6470887073834737,71,1.6324439932250976,71,1.603946063888073,71,1.5900723016357423,71,1.5631354294204711,71,1.5496165576171876,71,1.5120146798706056,71,1.4997585110884906,71,1.4877271059978008
72,1.77501923250854,72,1.7579016624587773,72,1.741123534166813,72,1.7246818565505742,72,1.7085539371681213,72,1.6471014009369744,72,1.6324565553283692,72,1.6039584527468682,72,1.5900846185302735,72,1.5631474404144285,72,1.549629348754883,72,1.5120262284088135,72,1.4997699960058928,72,1.4877384984397888
73,1.7750328914391993,73,1.7579151947337388,73,1.741136944499943,73,1.724695138463378,73,1.7085671107649802,73,1.6471140927632648,73,1.6324691275024414,73,1.6039708397221566,73,1.5900969116210937,73,1.5631594484710694,73,1.5496420751953124,73,1.512037783279419,73,1.499781479268074,73,1.487749889240265
74,1.7750465484070777,74,1.7579287250578404,74,1.741150352870756,74,1.724708418447375,74,1.7085802824234961,74,1.647126782904731,74,1.6324816860961913,74,1.6039832249331474,74,1.5901092193603517,74,1.563171453857422,74,1.5496548297119142,74,1.5120493257904053,74,1.4997929608863594,74,1.487761278373003
75,1.7750602033907177,75,1.7579422534316778,75,1.7411637593388558,75,1.7247216965365408,75,1.7085934521740673,75,1.6471394709057277,75,1.6324942546081544,75,1.6039956080937385,75,1.5901215072631836,75,1.5631834605026245,75,1.54966755859375,75,1.5120608654022216,75,1.499804440854192,75,1.4877726658707857
76,1.7750738563895225,76,1.7579557798433303,76,1.7411771638453006,76,1.724734972679019,76,1.7086066199636458,76,1.647152157444424,76,1.6325068257141113,76,1.6040079893255232,76,1.590133807067871,76,1.563195463294983,76,1.549680322265625,76,1.5120724160003662,76,1.4998159191593528,76,1.4877840516957639
77,1.7750875074404477,77,1.7579693043267726,77,1.7411905664470462,77,1.724748246948123,77,1.708619785863161,77,1.6471648419698077,77,1.632519374694824,77,1.604020368654728,77,1.5901460971069337,77,1.563207464866638,77,1.5496930462646483,77,1.512083956222534,77,1.4998273958438635,77,1.4877954358941317
78,1.775101156477928,78,1.7579828268182278,78,1.7412039670672683,78,1.7247615192699433,78,1.7086329498106243,78,1.6471775244818794,78,1.6325319377136231,78,1.6040327460575103,78,1.5901584045410155,78,1.5632194647216797,78,1.5497057836914063,78,1.5120954917144775,78,1.4998388708406687,78,1.48780681840986
