x2,w2,x3,w3,x4,w4,x5,w5,x6,w6,x7,w7,x8,w8,x10,w10,x11,w11,x12,w12,x13,w13,x14,w14,x16,w16
57,2.4183727124345302,57,2.3861069818258285,57,2.3547139308178426,57,2.324157333037853,57,2.2943992006206515,57,2.265416282272339,57,2.23717679933548,57,2.1828107941424846,57,2.1566290694999695,57,2.1315825952148435,57,2.1061927992057803,57,2.0818601354277133,57,2.0349056074750425
58,2.4183910147261622,58,2.3861250821328164,58,2.3547318161976336,58,2.3241750126922134,58,2.294416684849262,58,2.265433558899164,58,2.237193881537914,58,2.182827492835522,58,2.1566456022834775,58,2.131597833251953,58,2.106208887338638,58,2.0818760503089426,58,2.034921175636053
59,2.418409314826727,59,2.3861431802272794,59,2.3547496994626522,59,2.324192690242529,59,2.294434166972637,59,2.265450833467245,59,2.237210961686373,59,2.1828441895186903,59,2.1566621331214906,59,2.131612997436523,59,2.106224973964691,59,2.0818919633507726,59,2.034936742001772
60,2.418427612577677,60,2.3861612760138513,60,2.3547675804412362,60,2.3242103655445576,60,2.2944516468524934,60,2.26546810585618,60,2.23722803973794,60,2.1828608840739725,60,2.156678662133217,60,2.1316282794189454,60,2.106241058835983,60,2.081907874503136,60,2.034952306420803
61,2.418445908087492,61,2.386179369609356,61,2.354785459241867,61,2.324228038698435,61,2.294469124621153,61,2.265485376163721,61,2.2372451156520845,61,2.182877576625347,61,2.1566951888084414,61,2.131643508300781,61,2.106257141571045,61,2.081923783818483,61,2.0349678689908983
62,2.418464201453924,62,2.3861974610650543,62,2.3548033359873295,62,2.3242457098186016,62,2.2944866003501416,62,2.2655026444995405,62,2.2372621896612643,62,2.182894267243147,62,2.1567117133712768,62,2.131658674926758,62,2.106273222398758,62,2.0819396913945676,62,2.0349834298419953
63,2.4184824925005435,63,2.3862155502068996,63,2.3548212104761603,63,2.3242633787298206,63,2.294504073877335,63,2.265519910660982,63,2.237279261490107,63,2.1829109557843207,63,2.1567282359218596,63,2.131673946533203,63,2.1062893014335633,63,2.0819555970811847,63,2.0349989887869357
64,2.4185007812988757,64,2.386233637144566,64,2.354839082804918,64,2.3242810454702374,64,2.2945215452599523,64,2.2655371747386455,64,2.2372963312876224,64,2.182927642277479,64,2.1567447564697266,64,2.131689203491211,64,2.1063053786706925,64,2.0819715009129047,64,2.035014545881748
65,2.4185190678882598,65,2.386251721842289,65,2.35485695294857,65,2.324298710078001,65,2.294539014542103,65,2.2655544367444516,65,2.2373133990108967,65,2.1829443267667297,65,2.1567612751340866,65,2.1317043493652346,65,2.10632145421505,65,2.081987402932644,65,2.0350301011496783
66,2.4185373522138596,66,2.386269804369211,66,2.3548748209428787,66,2.3243163725745677,66,2.294556481691599,66,2.2655716966879367,66,2.2373304646909236,66,2.182961009247303,66,2.1567777917385103,66,2.1317196087646484,66,2.1063375277638436,66,2.082003303144574,66,2.035045654593706
67,2.418555634273291,67,2.3862878846251965,67,2.354892686733008,67,2.3243340328598023,67,2.2945739466786383,67,2.2655889545166494,67,2.2373475282788275,67,2.1829776896601913,67,2.15679430603981,67,2.1317348553466795,67,2.1063535993528366,67,2.082019201463461,67,2.0350612061822417
68,2.4185739141345026,68,2.3863059626972674,68,2.354910550380945,68,2.3243516910743716,68,2.294591409575939,68,2.2656062103134396,68,2.237364589858651,68,2.1829943681132793,68,2.156810818645954,68,2.131750020751953,68,2.1063696692156793,68,2.0820350980085136,68,2.0350767559593916
69,2.4185921917206046,69,2.3863240385031697,69,2.3549284118181464,69,2.324369347089529,69,2.294608870292902,69,2.2656234639543293,69,2.237381649315357,69,2.1830110444867614,69,2.156827329239845,69,2.1317652899169923,69,2.1063857374644277,69,2.0820509926736355,69,2.035092303869128
70,2.4186104670369626,70,2.3863421120768784,70,2.3549462710642817,70,2.3243870009571315,70,2.294626328887343,70,2.2656407155275344,70,2.2373987067055703,70,2.183027718847394,70,2.1568438376140597,70,2.131780512084961,70,2.1064018034839633,70,2.0820668855011464,70,2.0351078499293327
71,2.4186287401747704,71,2.3863601834762096,71,2.354964128200412,71,2.3244046527081728,71,2.294643785389662,71,2.265657965058684,71,2.237415762079954,71,2.1830443912220003,71,2.156860343756676,71,2.131795682983398,71,2.106417867553234,71,2.08208277654469,71,2.035123394198418
72,2.418647011020184,72,2.386378252620101,72,2.354981983115077,72,2.324422302289009,72,2.2946612397176027,72,2.2656752124762534,72,2.2374328153425456,72,2.1830610615313053,72,2.1568768480443956,72,2.1318109454345704,72,2.106433930029869,72,2.082098665703535,72,2.0351389365839956
73,2.4186652796047925,73,2.38639631953001,73,2.354999835849404,73,2.324439949727654,73,2.294678691905737,73,2.265692457803488,73,2.2374498665589093,73,2.1830777298021316,73,2.156893350188732,73,2.131826181640625,73,2.1064499905276297,73,2.082114553028941,73,2.0351544771236183
74,2.4186835459691287,74,2.386414384237528,74,2.355017686420679,74,2.3244575950199367,74,2.294696141989231,74,2.265709701042175,74,2.237466915704608,74,2.18309439606905,74,2.156909850509167,74,2.1318413470458983,74,2.106466049323082,74,2.0821304385375976,74,2.035170015858412
75,2.4187018101209405,75,2.386432446718812,75,2.355035534836054,75,2.324475238174796,75,2.294713589943051,75,2.2657269422227144,75,2.2374839628213645,75,2.1831110603272914,75,2.156926348807812,75,2.1318566076660157,75,2.106482106285095,75,2.0821463222283123,75,2.035185552750826
76,2.4187200719732047,76,2.3864505069595574,76,2.3550533810472487,76,2.324492879164815,76,2.2947310357391832,76,2.2657441812837127,76,2.2375010078316926,76,2.1831277225339414,76,2.156942844910622,76,2.131871841430664,76,2.1064981612372398,76,2.0821622040462495,76,2.035201087793112
77,2.418738331644535,77,2.386468565032482,77,2.355071225129962,77,2.3245105180704595,77,2.294748479441404,77,2.2657614183187484,77,2.2375180508142707,77,2.183144382764697,77,2.1569593389582633,77,2.131886997680664,77,2.1065142143750193,77,2.0821780840742585,77,2.0352166210263967
78,2.418756589025855,78,2.3864866208338738,78,2.3550890669858453,78,2.324528154757023,78,2.2947659209942817,78,2.2657786532306674,78,2.237535091726184,78,2.1831610409271716,78,2.1569758309459686,78,2.1319022692871092,78,2.10653026563406,78,2.082193962227702,78,2.035232152380347
79,2.4187748441481594,79,2.3865046744054554,79,2.3551069066810606,79,2.3245457893186807,79,2.2947833603900674,79,2.265795886052251,79,2.237552130547166,79,2.1831776970762014,79,2.15699232115984,79,2.131917501220703,79,2.106546315340996,79,2.0822098385578394,79,2.0352476819068195
80,2.4187930970954894,80,2.3865227257972954,80,2.3551247442412375,80,2.3245634217733144,80,2.294800797702074,80,2.265813116816282,80,2.2375691673487426,80,2.1831943512326477,80,2.1570088090157506,80,2.1319326513671877,80,2.1065623627567294,80,2.0822257130801676,80,2.0352632096338272
81,2.418811347758174,81,2.386540774934292,81,2.3551425795805456,81,2.3245810520380736,81,2.29481823284626,81,2.2658303454661373,81,2.2375862020641564,81,2.1832110033226013,81,2.157025294954777,81,2.1319479193115236,81,2.106578408505917,81,2.0822415857297183,81,2.035278735470176
82,2.418829596166611,82,2.38655882185638,82,2.355160412763357,82,2.3245986801743506,82,2.2948356658792495,82,2.265847572077513,82,2.23760323471725,82,2.183227653413415,82,2.1570417790818213,82,2.131963153686524,82,2.10659445258379,82,2.0822574565643075,82,2.0352942594984174
83,2.4188478423291446,83,2.386576866542697,83,2.355178243755102,83,2.3246163061398266,83,2.2948530967509746,83,2.265864796549678,83,2.237620265290737,83,2.1832443014460803,83,2.1570582608556745,83,2.1319783013916016,83,2.1066104944992063,83,2.082273325537145,83,2.035309781663716
84,2.4188660862898823,84,2.386594909045696,84,2.3551960726094245,84,2.32463393001616,84,2.294870525534153,84,2.2658820189881324,84,2.2376372938427327,84,2.1832609475076197,84,2.157074740626812,84,2.1319935668945313,84,2.1066265346503257,84,2.0822891927215457,84,2.0353253020316364
85,2.418884327955246,85,2.386612949281931,85,2.3552138992458582,85,2.3246515516847372,85,2.294887952146828,85,2.2658992393010857,85,2.23765432028383,85,2.183277591497898,85,2.1570912184524533,85,2.132008805541992,85,2.1066425730609897,85,2.0823050580188633,85,2.035340820505619
86,2.418902567450106,86,2.3866309873589873,86,2.355231723782122,86,2.3246691712895036,86,2.294905376692712,86,2.2659164576020836,86,2.2376713447237018,86,2.183294233531952,86,2.1571076942753793,86,2.1320239569091797,86,2.1066586095118525,86,2.0823209215518834,86,2.035356337220669
87,2.418920804656744,87,2.386649023169577,87,2.3552495460927485,87,2.3246867886963485,87,2.2949227990603447,87,2.265933673759997,87,2.2376883670657874,87,2.183310873499215,87,2.157124167854786,87,2.132039208374023,87,2.106674644031525,87,2.08233678319931,87,2.035371852041185
88,2.4189390396386385,88,2.3866670567801593,88,2.355267366248667,88,2.3247044039744136,88,2.29494021930635,88,2.265950887858272,88,2.237705387355983,88,2.183327511452734,88,2.157140639772415,88,2.132054442138672,88,2.106690677034855,88,2.0823526430246235,88,2.0353873650425673
89,2.4189572723659873,89,2.386685088149607,89,2.3552851842182876,89,2.324722017098665,89,2.2949576374194023,89,2.265968099862635,89,2.237722405574918,89,2.183344147376716,89,2.157157109351158,89,2.1320695886230467,89,2.106706707906723,89,2.082368501008153,89,2.0354028761965037
90,2.4189755028650164,90,2.3867031173169613,90,2.355303000023067,90,2.3247396280893686,90,2.294975053411126,90,2.2659853098025917,90,2.237739421736896,90,2.1833607812863587,90,2.1571735770344733,90,2.1320848608398437,90,2.106722737035751,90,2.082384357165098,90,2.035418385524452
91,2.4189937311163545,91,2.386721144267619,91,2.3553208136630057,91,2.324757236942351,91,2.2949924672839046,91,2.266002517651916,91,2.2377564358508586,91,2.1833774131852386,91,2.157190042710304,91,2.1321000872802736,91,2.1067387643384934,91,2.0824002114990354,91,2.0354338930100204
92,2.419011957125962,92,2.3867391689813138,92,2.3553386251148583,92,2.3247748436361553,92,2.2950098790028695,92,2.266019723417759,92,2.237773447882533,92,2.18339404304266,92,2.15720650616169,92,2.132115230102539,92,2.1067547896289827,92,2.082416063979566,92,2.035449398656785
93,2.4190301808989045,93,2.3867571914961934,93,2.355356434414685,93,2.3247924482023716,93,2.295027288608253,93,2.2660369271063807,93,2.2377904578739405,93,2.1834106708922985,93,2.1572229676651955,93,2.13213049987793,93,2.106770813114643,93,2.0824319146344066,93,2.0354649024733904
94,2.4190484024429324,94,2.3867752117827536,94,2.355374241539538,94,2.324810050626397,94,2.295044696095884,94,2.266054128717482,94,2.237807465800643,94,2.1834272967246178,94,2.1572394272112847,94,2.1321457250976565,94,2.1067868348670005,94,2.0824477634605767,94,2.0354804044544696
95,2.4190666217273473,95,2.3867932298403978,95,2.355392046473026,95,2.3248276508873698,95,2.295062101418078,95,2.266071328231692,95,2.237824471644163,95,2.183443920507431,95,2.157255884644985,95,2.1321608770751954,95,2.1068028546917437,95,2.0824636104321477,95,2.0354959045779704
96,2.4190848387935757,96,2.3868112457081674,96,2.355409849271774,96,2.3248452490344644,96,2.295079504651427,96,2.2660885256916283,96,2.2378414754611256,96,2.183460542306006,96,2.1572723400473595,96,2.132176139526367,96,2.1068188726365564,96,2.082479455597401,96,2.0355114028920234
97,2.4191030536198617,97,2.3868292593437435,97,2.3554276498803497,97,2.324862845034003,97,2.2950969057506323,97,2.2661057210594415,97,2.237858477206826,97,2.183477162077427,97,2.1572887935221194,97,2.132191361694336,97,2.10683488879323,97,2.0824952989158034,97,2.0355268993666766
